trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.1, 'e': 0.8600583546412884}",25,0,-141.0286385484563,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.1, 'e': 0.8514577710948755}",25,0,-150.78811066193344,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.1, 'e': 0.8429431933839268}",20,0,-41.37682213319829,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.8345137614500875}",20,0,-78.30127800852033,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.8261686238355866}",20,0,-67.23293353280599,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.8179069375972308}",25,0,-108.53791661800821,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.8097278682212584}",35,6,-45.37985372843222,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.8016305895390459}",20,0,-113.65643336313151,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.7936142836436554}",25,8,-61.22338070928264,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
25,False,"{'a': 0.1, 'e': 0.7856781408072188}",20,0,-42.420207424466746,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.7778213593991467}",25,0,-100.4016017277702,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.7700431458051551}",20,0,-184.77597179215067,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
28,False,"{'a': 0.1, 'e': 0.7623427143471035}",20,0,-164.80904050191452,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.7547192872036325}",30,0,-119.1862420066514,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.7471720943315961}",20,0,-87.49399758921298,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.7397003733882802}",20,0,-92.76303727392092,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.7323033696543975}",20,0,-100.12073548886647,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.7249803359578535}",20,0,-93.0018924646929,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.1, 'e': 0.7177305325982749}",30,0,-88.92386675086549,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.7105532272722921}",30,0,-94.28408213510863,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.1, 'e': 0.7034476949995692}",20,0,-138.62069549962138,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.1, 'e': 0.6964132180495735}",20,0,-2.418261894817541,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
38,False,"{'a': 0.1, 'e': 0.6894490858690778}",20,2,-77.13903592852198,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
